merchant_abn,merchant_name,segment,Takings Rank,Loss Potential Ranking,Growth Potential Ranking,Final Ranking
74046727484,Vestibulum Accumsan Neque Ltd,"Fashion, Jewelry & Personal Goods",244,245,471,246
57860746842,Dui Augue PC,"Fashion, Jewelry & Personal Goods",306,318,347,248
93644338786,Consectetuer Cursus Inc.,"Fashion, Jewelry & Personal Goods",220,220,534,250
13118172970,Placerat Cras Incorporated,"Fashion, Jewelry & Personal Goods",339,339,298,251
38736067045,Cras Lorem Institute,"Fashion, Jewelry & Personal Goods",242,242,514,260
23709946765,Faucibus Leo Corp.,"Fashion, Jewelry & Personal Goods",368,375,352,292
78905182348,Urna Incorporated,"Fashion, Jewelry & Personal Goods",326,326,453,299
78091331382,Turpis Foundation,"Fashion, Jewelry & Personal Goods",412,407,315,311
43159973833,Nulla Tincidunt Corporation,"Fashion, Jewelry & Personal Goods",414,413,327,319
17431888602,Metus Inc.,"Fashion, Jewelry & Personal Goods",336,334,503,327
29253286472,Fusce Incorporated,"Fashion, Jewelry & Personal Goods",360,365,456,332
12173100693,Quam Quis Diam Foundation,"Fashion, Jewelry & Personal Goods",398,399,385,334
80701973278,Nunc PC,"Fashion, Jewelry & Personal Goods",251,251,691,338
83177825742,Sed Facilisis Corp.,"Fashion, Jewelry & Personal Goods",320,320,554,339
35733444320,Arcu Ac Limited,"Fashion, Jewelry & Personal Goods",439,436,332,341
58495294020,Diam Nunc Associates,"Fashion, Jewelry & Personal Goods",429,440,351,344
41663117354,Litora Torquent Industries,"Fashion, Jewelry & Personal Goods",269,269,686,346
55842128301,A Ultricies Adipiscing LLC,"Fashion, Jewelry & Personal Goods",284,282,659,347
66678764219,Vulputate Posuere Vulputate Foundation,"Fashion, Jewelry & Personal Goods",299,299,641,351
24070342853,Ligula Tortor PC,"Fashion, Jewelry & Personal Goods",342,345,557,352
86889657711,Accumsan Corporation,"Fashion, Jewelry & Personal Goods",370,378,504,354
88553358884,Sed Consequat Limited,"Fashion, Jewelry & Personal Goods",270,268,737,366
27500085887,Vitae Posuere Industries,"Fashion, Jewelry & Personal Goods",415,416,445,367
12543580354,Ut Aliquam Corp.,"Fashion, Jewelry & Personal Goods",437,435,410,371
32176774610,Cubilia Curae Donec Inc.,"Fashion, Jewelry & Personal Goods",374,373,543,373
46380096952,Non Enim Mauris PC,"Fashion, Jewelry & Personal Goods",461,461,382,377
11944993446,Tincidunt Dui Corp.,"Fashion, Jewelry & Personal Goods",355,355,647,391
89107518982,Adipiscing Lobortis Risus Corporation,"Fashion, Jewelry & Personal Goods",458,458,443,393
14530561097,Duis At Inc.,"Fashion, Jewelry & Personal Goods",601,614,148,394
91630014920,Accumsan Sed LLP,"Fashion, Jewelry & Personal Goods",383,384,603,395
24938000144,Consequat Nec Corporation,"Fashion, Jewelry & Personal Goods",443,442,493,399
42217736449,Egestas Ligula Nullam Corporation,"Fashion, Jewelry & Personal Goods",524,524,344,403
58321530622,Consequat Associates,"Fashion, Jewelry & Personal Goods",550,551,305,404
98314397036,Lobortis Augue Industries,"Fashion, Jewelry & Personal Goods",310,309,787,405
22407003576,In Lorem Corporation,"Fashion, Jewelry & Personal Goods",478,481,475,418
45559085309,A Auctor Non Corporation,"Fashion, Jewelry & Personal Goods",356,357,743,427
52606147371,Mi Ac Foundation,"Fashion, Jewelry & Personal Goods",515,516,450,431
70172340121,Justo Eu Incorporated,"Fashion, Jewelry & Personal Goods",540,540,420,437
45572698303,Libero Proin Corp.,"Fashion, Jewelry & Personal Goods",531,531,458,441
72857570096,Neque Incorporated,"Fashion, Jewelry & Personal Goods",476,475,572,445
72673996108,Donec Sollicitudin LLC,"Fashion, Jewelry & Personal Goods",411,411,710,448
71761786483,Mauris Blandit PC,"Fashion, Jewelry & Personal Goods",533,532,490,459
50866797623,Cum Sociis Natoque Incorporated,"Fashion, Jewelry & Personal Goods",591,593,376,462
19854089605,Aenean Massa Industries,"Fashion, Jewelry & Personal Goods",466,468,658,477
63728747020,Lobortis Ultrices Ltd,"Fashion, Jewelry & Personal Goods",473,473,650,479
30458474292,Euismod Est Foundation,"Fashion, Jewelry & Personal Goods",440,439,720,480
50755717212,Iaculis Odio LLP,"Fashion, Jewelry & Personal Goods",495,494,615,481
13255205539,In Aliquet Inc.,"Fashion, Jewelry & Personal Goods",418,417,775,484
87719724258,Suspendisse Eleifend LLC,"Fashion, Jewelry & Personal Goods",404,406,812,487
98548263806,Nam Ligula Elit Corporation,"Fashion, Jewelry & Personal Goods",501,500,623,488
35927874515,Ac Orci Ut Industries,"Fashion, Jewelry & Personal Goods",390,388,866,498
28449116125,Est Industries,"Fashion, Jewelry & Personal Goods",628,632,400,503
61619924340,In Mi Institute,"Fashion, Jewelry & Personal Goods",606,601,461,505
99022662131,Auctor Vitae Aliquet Associates,"Fashion, Jewelry & Personal Goods",562,568,546,507
13285958344,Purus Gravida Sagittis Inc.,"Fashion, Jewelry & Personal Goods",451,452,818,518
57566534349,Class Aptent PC,"Fashion, Jewelry & Personal Goods",465,465,813,524
28941011848,Commodo LLC,"Fashion, Jewelry & Personal Goods",567,566,621,526
23812847062,Pellentesque Eget Ltd,"Fashion, Jewelry & Personal Goods",643,647,489,535
11355018654,Interdum Inc.,"Fashion, Jewelry & Personal Goods",523,523,738,536
63952221889,Non Limited,"Fashion, Jewelry & Personal Goods",714,715,357,537
43083074133,Faucibus Leo In LLC,"Fashion, Jewelry & Personal Goods",750,760,281,541
58715026442,Eget Incorporated,"Fashion, Jewelry & Personal Goods",500,502,791,543
66228393506,Sed Hendrerit Foundation,"Fashion, Jewelry & Personal Goods",849,862,121,553
57471217202,A Ultricies Institute,"Fashion, Jewelry & Personal Goods",505,506,829,555
32656335530,Enim Etiam Gravida PC,"Fashion, Jewelry & Personal Goods",620,623,608,557
61447419161,Mollis Dui In LLP,"Fashion, Jewelry & Personal Goods",770,773,362,576
65122248893,Egestas Hendrerit Neque Institute,"Fashion, Jewelry & Personal Goods",749,750,412,577
23540152063,Nulla Cras Limited,"Fashion, Jewelry & Personal Goods",425,425,1090,588
96880556465,At Lacus Quisque Institute,"Fashion, Jewelry & Personal Goods",555,555,842,597
16286338734,Vitae PC,"Fashion, Jewelry & Personal Goods",684,684,598,604
15359085759,Ac Urna Ut PC,"Fashion, Jewelry & Personal Goods",551,549,891,613
62773208456,Ac Institute,"Fashion, Jewelry & Personal Goods",784,787,434,619
61845622676,Turpis In Incorporated,"Fashion, Jewelry & Personal Goods",736,737,535,621
38918664617,Faucibus Foundation,"Fashion, Jewelry & Personal Goods",959,964,117,631
97590358496,Tristique Inc.,"Fashion, Jewelry & Personal Goods",603,605,847,635
39211701585,Diam Eu Dolor PC,"Fashion, Jewelry & Personal Goods",654,654,780,645
15582655078,Eu Odio Phasellus Corp.,"Fashion, Jewelry & Personal Goods",624,624,840,647
87998844202,A Corp.,"Fashion, Jewelry & Personal Goods",535,539,1034,653
24715277505,Auctor Limited,"Fashion, Jewelry & Personal Goods",570,570,976,655
98268965514,Vulputate LLC,"Fashion, Jewelry & Personal Goods",886,886,346,656
60978195146,Lobortis Tellus Corp.,"Fashion, Jewelry & Personal Goods",909,908,306,658
30122382323,Ipsum Company,"Fashion, Jewelry & Personal Goods",692,692,744,660
16492082804,Et Malesuada Institute,"Fashion, Jewelry & Personal Goods",693,693,757,667
42807026185,Nunc Laoreet Incorporated,"Fashion, Jewelry & Personal Goods",723,726,735,679
27585113425,Dolor Dolor Limited,"Fashion, Jewelry & Personal Goods",566,569,1050,681
57289898526,Mi Felis Adipiscing LLC,"Fashion, Jewelry & Personal Goods",529,529,1143,687
52242018594,Aliquet Diam Sed Limited,"Fashion, Jewelry & Personal Goods",768,769,665,688
19054547079,Tincidunt Adipiscing Corp.,"Fashion, Jewelry & Personal Goods",565,564,1080,697
75089928159,Porttitor Vulputate Limited,"Fashion, Jewelry & Personal Goods",965,965,295,702
14961279222,Lacinia At Inc.,"Fashion, Jewelry & Personal Goods",757,756,713,703
67691683330,Integer Mollis Integer Institute,"Fashion, Jewelry & Personal Goods",937,938,393,716
12438697459,At Arcu Industries,"Fashion, Jewelry & Personal Goods",690,690,922,727
31169432936,Enim Condimentum Inc.,"Fashion, Jewelry & Personal Goods",706,706,928,735
66917621463,Vulputate Velit Inc.,"Fashion, Jewelry & Personal Goods",704,703,940,739
30623214058,Mauris Eu PC,"Fashion, Jewelry & Personal Goods",897,897,584,749
44594244784,Dapibus Id Incorporated,"Fashion, Jewelry & Personal Goods",845,845,696,753
32493270774,Libero LLP,"Fashion, Jewelry & Personal Goods",776,778,835,756
38488456221,In Cursus Consulting,"Fashion, Jewelry & Personal Goods",644,644,1107,758
13565102775,Malesuada LLP,"Fashion, Jewelry & Personal Goods",873,875,662,766
41170595493,Et Ultrices Company,"Fashion, Jewelry & Personal Goods",829,830,759,772
57405729081,Augue Corporation,"Fashion, Jewelry & Personal Goods",902,901,699,807
89022505272,Luctus LLC,"Fashion, Jewelry & Personal Goods",752,753,997,808
46898641989,Netus Et LLP,"Fashion, Jewelry & Personal Goods",953,953,620,818
57867831267,Mi Lorem Inc.,"Fashion, Jewelry & Personal Goods",863,864,855,833
77929547081,Elementum At Egestas Ltd,"Fashion, Jewelry & Personal Goods",854,853,877,835
33138327540,Fermentum Convallis Ltd,"Fashion, Jewelry & Personal Goods",751,751,1098,843
59039508122,Augue Ut Lacus Foundation,"Fashion, Jewelry & Personal Goods",792,799,1020,848
57961198956,Cursus Institute,"Fashion, Jewelry & Personal Goods",764,762,1113,866
49758515423,Ac Turpis Egestas PC,"Fashion, Jewelry & Personal Goods",724,725,1193,869
34726792617,Purus Mauris Associates,"Fashion, Jewelry & Personal Goods",747,747,1155,874
27504885147,Enim Ltd,"Fashion, Jewelry & Personal Goods",718,720,1213,878
40307304965,Interdum Ltd,"Fashion, Jewelry & Personal Goods",734,734,1256,888
54705111450,Eleifend Non Inc.,"Fashion, Jewelry & Personal Goods",857,860,1008,889
82123916158,Egestas A Corp.,"Fashion, Jewelry & Personal Goods",1028,1028,684,892
28208763477,Ut Molestie Ltd,"Fashion, Jewelry & Personal Goods",974,975,809,896
27047988248,Purus Accumsan LLP,"Fashion, Jewelry & Personal Goods",816,816,1138,900
17945458645,Curae Industries,"Fashion, Jewelry & Personal Goods",852,851,1068,902
17678252870,Faucibus Morbi Foundation,"Fashion, Jewelry & Personal Goods",1009,1009,815,920
80995075637,Facilisis Suspendisse Inc.,"Fashion, Jewelry & Personal Goods",961,960,924,923
65168284301,Dui LLC,"Fashion, Jewelry & Personal Goods",1450,1454,1,933
99241925348,Posuere At Velit PC,"Fashion, Jewelry & Personal Goods",869,868,1173,936
10206519221,Fusce Company,"Fashion, Jewelry & Personal Goods",839,842,1245,940
12034469787,Pede Suspendisse Corp.,"Fashion, Jewelry & Personal Goods",817,817,1293,941
64143552561,Fusce Feugiat Associates,"Fashion, Jewelry & Personal Goods",1470,1471,2,949
81249812970,Sapien Foundation,"Fashion, Jewelry & Personal Goods",945,948,1075,957
15253672771,Nascetur Ridiculus LLC,"Fashion, Jewelry & Personal Goods",956,957,1064,958
19465180165,Euismod Urna Corp.,"Fashion, Jewelry & Personal Goods",918,919,1163,966
55430629945,Metus Facilisis Associates,"Fashion, Jewelry & Personal Goods",867,869,1268,968
51321276923,Aenean Eget Limited,"Fashion, Jewelry & Personal Goods",912,911,1187,970
86525942285,Neque Sed Dictum LLP,"Fashion, Jewelry & Personal Goods",932,931,1151,972
63032122101,Luctus Aliquet Corporation,"Fashion, Jewelry & Personal Goods",895,896,1246,980
17034043771,Imperdiet Ullamcorper Inc.,"Fashion, Jewelry & Personal Goods",963,962,1114,982
68950900599,Augue Company,"Fashion, Jewelry & Personal Goods",1143,1143,846,1010
96244711717,Cras Sed Leo Corp.,"Fashion, Jewelry & Personal Goods",952,952,1283,1027
44126901587,Tempus Non Associates,"Fashion, Jewelry & Personal Goods",946,946,1308,1030
35367341543,Rhoncus Id Company,"Fashion, Jewelry & Personal Goods",948,950,1312,1032
86591172660,Pretium Neque Morbi Ltd,"Fashion, Jewelry & Personal Goods",1078,1079,1077,1037
96965554802,Semper Et Lacinia Institute,"Fashion, Jewelry & Personal Goods",1030,1030,1177,1039
71476669593,Non Luctus Sit Industries,"Fashion, Jewelry & Personal Goods",1000,1000,1243,1040
50667745027,Et Malesuada Fames Ltd,"Fashion, Jewelry & Personal Goods",1026,1026,1200,1043
62170730910,Volutpat Nunc Sit Institute,"Fashion, Jewelry & Personal Goods",1038,1038,1186,1044
43838212570,Ullamcorper Magna Sed Incorporated,"Fashion, Jewelry & Personal Goods",1198,1199,880,1046
10264435225,Ipsum Primis Ltd,"Fashion, Jewelry & Personal Goods",1115,1110,1054,1047
88435572170,Et LLP,"Fashion, Jewelry & Personal Goods",1140,1141,1032,1057
51357574333,Varius Nam Porttitor Consulting,"Fashion, Jewelry & Personal Goods",1082,1083,1150,1058
83412691377,Suspendisse Sagittis Nullam Associates,"Fashion, Jewelry & Personal Goods",1048,1048,1254,1063
39135845322,Quis Pede Praesent Inc.,"Fashion, Jewelry & Personal Goods",1025,1025,1309,1065
25846871943,Feugiat Placerat Corporation,"Fashion, Jewelry & Personal Goods",1176,1175,1018,1072
72870379863,Et Eros Corp.,"Fashion, Jewelry & Personal Goods",1162,1159,1053,1073
20606594082,Nunc Nulla Vulputate LLC,"Fashion, Jewelry & Personal Goods",1126,1127,1148,1078
37762125537,Pharetra Incorporated,"Fashion, Jewelry & Personal Goods",1068,1066,1316,1084
65202518558,Purus Nullam Incorporated,"Fashion, Jewelry & Personal Goods",1034,1033,1388,1085
24674067743,Augue Ltd,"Fashion, Jewelry & Personal Goods",1353,1355,756,1087
65276790047,Bibendum Fermentum LLP,"Fashion, Jewelry & Personal Goods",1215,1217,1036,1089
12014115545,In Lobortis Company,"Fashion, Jewelry & Personal Goods",1050,1053,1415,1103
11134994590,Quis Massa Mauris Ltd,"Fashion, Jewelry & Personal Goods",1206,1211,1105,1104
10165489824,Nunc Sed Company,"Fashion, Jewelry & Personal Goods",1762,1763,3,1106
52569909432,Dis Parturient Montes LLC,"Fashion, Jewelry & Personal Goods",1099,1103,1343,1114
75131910841,Taciti Associates,"Fashion, Jewelry & Personal Goods",1003,1003,1545,1115
10881038707,Sed Facilisis Vitae Incorporated,"Fashion, Jewelry & Personal Goods",1774,1774,4,1116
25707254891,Dui Associates,"Fashion, Jewelry & Personal Goods",1301,1305,963,1125
15531408565,Aliquam Eu LLP,"Fashion, Jewelry & Personal Goods",1063,1062,1451,1127
36105696102,Velit Eget Institute,"Fashion, Jewelry & Personal Goods",1372,1381,844,1136
41315101616,Malesuada Fames Foundation,"Fashion, Jewelry & Personal Goods",1147,1147,1324,1146
21263722044,Lacus Quisque Industries,"Fashion, Jewelry & Personal Goods",1309,1312,1010,1151
32623092639,Penatibus Et Industries,"Fashion, Jewelry & Personal Goods",1085,1088,1484,1158
68289707002,Ac Metus Industries,"Fashion, Jewelry & Personal Goods",1326,1326,1051,1173
60240099150,Adipiscing Industries,"Fashion, Jewelry & Personal Goods",1094,1086,1525,1175
92308095254,Non Lorem LLC,"Fashion, Jewelry & Personal Goods",1134,1134,1445,1179
86791380020,Integer Urna Institute,"Fashion, Jewelry & Personal Goods",1868,1867,6,1191
67213521157,Gravida Nunc LLP,"Fashion, Jewelry & Personal Goods",1867,1868,7,1192
58459771721,Vestibulum Mauris Corp.,"Fashion, Jewelry & Personal Goods",1354,1353,1078,1197
86744504251,Suspendisse Dui LLC,"Fashion, Jewelry & Personal Goods",1200,1200,1398,1202
91847992723,Sed Molestie Foundation,"Fashion, Jewelry & Personal Goods",1306,1304,1198,1206
78820544491,Tincidunt Aliquam LLP,"Fashion, Jewelry & Personal Goods",1103,1106,1604,1210
21073645356,Egestas A Consulting,"Fashion, Jewelry & Personal Goods",1297,1297,1220,1211
77595119441,Donec Tempor PC,"Fashion, Jewelry & Personal Goods",1461,1462,902,1218
73204383732,Et Ultrices Inc.,"Fashion, Jewelry & Personal Goods",1229,1228,1387,1224
75265429612,Consectetuer PC,"Fashion, Jewelry & Personal Goods",1263,1265,1318,1225
23026499747,Metus Aenean Inc.,"Fashion, Jewelry & Personal Goods",1150,1150,1560,1233
59589609053,Adipiscing Non LLP,"Fashion, Jewelry & Personal Goods",1327,1327,1249,1244
65907027247,Fringilla Porttitor Limited,"Fashion, Jewelry & Personal Goods",1087,1085,1749,1250
93439438419,Parturient Montes Inc.,"Fashion, Jewelry & Personal Goods",1242,1242,1471,1261
88630093420,Sem Ut Dolor Inc.,"Fashion, Jewelry & Personal Goods",1177,1176,1605,1262
85626017907,Commodo At Libero PC,"Fashion, Jewelry & Personal Goods",1426,1428,1115,1267
93110588804,Aenean Sed Pede Company,"Fashion, Jewelry & Personal Goods",1305,1306,1361,1269
72760991600,Libero Incorporated,"Fashion, Jewelry & Personal Goods",1319,1319,1347,1277
19197006880,Libero At LLC,"Fashion, Jewelry & Personal Goods",1164,1163,1659,1279
86621434137,Praesent Luctus LLC,"Fashion, Jewelry & Personal Goods",1998,1996,8,1282
41331227038,Consectetuer Adipiscing Institute,"Fashion, Jewelry & Personal Goods",1464,1465,1073,1283
90188095187,Egestas Inc.,"Fashion, Jewelry & Personal Goods",1374,1376,1260,1288
78949485914,Fermentum Metus Ltd,"Fashion, Jewelry & Personal Goods",1430,1429,1160,1292
11093673306,Ac Mi Corp.,"Fashion, Jewelry & Personal Goods",1217,1218,1598,1296
99786288465,Non Enim Commodo Industries,"Fashion, Jewelry & Personal Goods",1173,1172,1689,1297
21615741041,Nulla Facilisi Sed LLP,"Fashion, Jewelry & Personal Goods",1168,1168,1703,1299
41827752591,Fusce Aliquam Consulting,"Fashion, Jewelry & Personal Goods",1315,1316,1433,1305
93378757859,Sit Foundation,"Fashion, Jewelry & Personal Goods",1429,1430,1231,1312
60150317439,In Institute,"Fashion, Jewelry & Personal Goods",1163,1160,1773,1316
48534842833,Dictum Eu Inc.,"Fashion, Jewelry & Personal Goods",1279,1279,1544,1318
87630626808,Eget Industries,"Fashion, Jewelry & Personal Goods",1437,1437,1234,1320
56806164521,Tempor Augue Ac Foundation,"Fashion, Jewelry & Personal Goods",1370,1375,1369,1324
77334889816,Massa Ltd,"Fashion, Jewelry & Personal Goods",1575,1577,975,1327
55325186693,Aliquam Nisl Corporation,"Fashion, Jewelry & Personal Goods",1334,1334,1468,1331
18305506006,Mollis Lectus Consulting,"Fashion, Jewelry & Personal Goods",1228,1227,1685,1333
65959377833,Lobortis Augue Ltd,"Fashion, Jewelry & Personal Goods",2085,2085,9,1348
54429225092,Ridiculus Mus Aenean LLP,"Fashion, Jewelry & Personal Goods",1192,1193,1794,1349
52129026374,Non Feugiat Nec Industries,"Fashion, Jewelry & Personal Goods",1254,1252,1678,1351
37304535258,Tempus Non Institute,"Fashion, Jewelry & Personal Goods",1431,1424,1332,1353
28748147493,Neque Institute,"Fashion, Jewelry & Personal Goods",1527,1528,1161,1363
80837517456,Sed Pede Institute,"Fashion, Jewelry & Personal Goods",1452,1450,1380,1372
60539272146,Ipsum Cursus LLP,"Fashion, Jewelry & Personal Goods",1680,1682,923,1373
34095207240,Mauris Morbi Associates,"Fashion, Jewelry & Personal Goods",1394,1395,1542,1383
91455531890,Pede Nunc Sed Industries,"Fashion, Jewelry & Personal Goods",1364,1364,1635,1394
50894040234,Auctor Nunc Nulla Industries,"Fashion, Jewelry & Personal Goods",1255,1255,1853,1395
79143633916,Tellus Phasellus Elit Associates,"Fashion, Jewelry & Personal Goods",1573,1575,1219,1397
84357911995,Nullam Vitae Inc.,"Fashion, Jewelry & Personal Goods",1316,1313,1744,1400
55555661470,Nullam Scelerisque LLC,"Fashion, Jewelry & Personal Goods",2182,2183,10,1401
29505435279,Sed Dictum Ltd,"Fashion, Jewelry & Personal Goods",1636,1640,1117,1410
48196513465,Sagittis Augue Corporation,"Fashion, Jewelry & Personal Goods",1325,1325,1743,1412
11791943985,Nulla Magna Incorporated,"Fashion, Jewelry & Personal Goods",1338,1339,1717,1413
69934752604,Fermentum Arcu Vestibulum Corp.,"Fashion, Jewelry & Personal Goods",1288,1290,1820,1415
41237771126,Euismod Est Arcu PC,"Fashion, Jewelry & Personal Goods",1402,1402,1608,1419
10955677986,Arcu Iaculis Corporation,"Fashion, Jewelry & Personal Goods",1311,1309,1818,1432
11422053652,Aptent Taciti Consulting,"Fashion, Jewelry & Personal Goods",1366,1365,1752,1450
40938677569,Elit Pretium Et Foundation,"Fashion, Jewelry & Personal Goods",1344,1345,1816,1462
71982729179,Erat Eget LLC,"Fashion, Jewelry & Personal Goods",1328,1328,1863,1466
99473039626,Sed Diam Industries,"Fashion, Jewelry & Personal Goods",1492,1494,1585,1485
89933762267,Eget Venenatis Incorporated,"Fashion, Jewelry & Personal Goods",1407,1408,1764,1489
47721432444,Ultrices Posuere Cubilia Foundation,"Fashion, Jewelry & Personal Goods",1389,1393,1799,1490
76519958668,Ut Incorporated,"Fashion, Jewelry & Personal Goods",1547,1550,1489,1493
24769745549,Ac Metus Corporation,"Fashion, Jewelry & Personal Goods",1371,1373,1859,1498
18949610555,Metus In LLP,"Fashion, Jewelry & Personal Goods",1302,1302,2004,1500
43061683632,A Facilisis PC,"Fashion, Jewelry & Personal Goods",1576,1573,1482,1508
34920839316,Nunc Est LLP,"Fashion, Jewelry & Personal Goods",2104,2104,446,1516
17308640834,Et Rutrum Limited,"Fashion, Jewelry & Personal Goods",1469,1468,1735,1530
81548651453,Mauris Blandit Limited,"Fashion, Jewelry & Personal Goods",2058,2059,610,1550
46537010521,Tempor Augue Ac Company,"Fashion, Jewelry & Personal Goods",2371,2370,12,1558
74959624448,Ornare Facilisis Corporation,"Fashion, Jewelry & Personal Goods",1752,1754,1248,1559
16388802220,Iaculis Aliquet Institute,"Fashion, Jewelry & Personal Goods",1505,1506,1748,1563
10901349044,Per Inceptos Company,"Fashion, Jewelry & Personal Goods",1447,1445,1877,1564
13120157976,Sem Egestas Blandit Limited,"Fashion, Jewelry & Personal Goods",1421,1422,1926,1565
35679080538,Odio Etiam Limited,"Fashion, Jewelry & Personal Goods",1557,1556,1669,1574
67425187185,Nullam Limited,"Fashion, Jewelry & Personal Goods",1392,1390,2002,1575
45663905997,Lacus Mauris Associates,"Fashion, Jewelry & Personal Goods",1930,1929,931,1578
56723208962,Risus Donec Associates,"Fashion, Jewelry & Personal Goods",1750,1750,1351,1595
50028551673,Vel Faucibus Institute,"Fashion, Jewelry & Personal Goods",1529,1526,1796,1596
85528480784,Convallis Institute,"Fashion, Jewelry & Personal Goods",1698,1698,1467,1597
43188424684,Est Mollis Non Inc.,"Fashion, Jewelry & Personal Goods",1692,1694,1487,1602
93726438981,Justo Praesent Luctus Inc.,"Fashion, Jewelry & Personal Goods",1504,1505,1868,1605
96812798687,Nisl Nulla LLP,"Fashion, Jewelry & Personal Goods",1674,1673,1532,1606
30166624802,Feugiat Institute,"Fashion, Jewelry & Personal Goods",1541,1542,1800,1610
90612658132,Suspendisse Eleifend Cras Foundation,"Fashion, Jewelry & Personal Goods",1488,1490,1905,1611
29027010572,Ut Mi Associates,"Fashion, Jewelry & Personal Goods",1945,1947,995,1612
72397853535,Convallis Ante Lectus Ltd,"Fashion, Jewelry & Personal Goods",1439,1441,2022,1616
47218919992,Nonummy Ac Industries,"Fashion, Jewelry & Personal Goods",1454,1453,2027,1626
